# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
1.0 50.0 2421000.0 1250.4 3.968 -2297.1 -17055.0 17.039 15.305 2.3189 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.4 2421000.0 1246.61970047 0.0 0.0 0.0 
1.0 50.0 1331300.0 1100.6 2.4789 -2639.8 -15630.0 17.039 15.305 2.2549 1.2762 1.741 1.0 1.0 0.66128 1508.2 807.11 153.569273677 1252.59286 2420255.51828 1244.34561887 0.00194568262784 4709.04911686 3.7843578548 
1.0 50.0 86279.0 584.7 0.30241 -3736.2 -10637.0 17.039 15.305 1.9823 1.3265 20.019 2.5294 4.0 1.4294 1988.5 1744.6 162.766676811 1195.3907083 1576567.09238 1199.17012495 0.00138182286018 2178.53644886 1.81670340474 
1.0 50.0 2422000.0 1250.4 3.9695 -2297.1 -17055.0 17.04 15.305 2.3189 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.4 2422000.0 1246.61970047 0.0 0.0 0.0 
1.0 50.0 1331800.0 1100.6 2.4799 -2639.8 -15630.0 17.04 15.305 2.2549 1.2762 1.741 1.0 1.0 0.66128 1508.2 807.11 153.571268184 1252.59286 2421164.5003 1244.34561887 0.00194495215682 4709.04911686 3.7843578548 
1.0 50.0 86315.0 584.72 0.30253 -3736.2 -10637.0 17.04 15.305 1.9823 1.3265 20.019 2.5294 4.0 1.4294 1988.5 1744.6 162.782572786 1195.43159733 1577224.91659 1199.19063393 0.00138124653367 2178.53644886 1.81667233484 
1.0 50.0 2423000.0 1250.5 3.9711 -2297.1 -17055.0 17.04 15.306 2.3189 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.5 2423000.0 1246.62882278 0.0 0.0 0.0 
1.0 50.0 1332400.0 1100.6 2.4809 -2639.8 -15630.0 17.04 15.306 2.2549 1.2762 1.741 1.0 1.0 0.66128 1508.2 807.12 153.568642754 1252.59286 2422255.27872 1244.30496926 0.00194407631526 4709.04911686 3.7844814842 
1.0 50.0 86352.0 584.74 0.30265 -3736.3 -10638.0 17.04 15.306 1.9823 1.3265 20.019 2.5295 4.0 1.4294 1988.5 1744.6 162.800791319 1195.52077801 1578159.99189 1199.19618767 0.00138042813153 2178.53644886 1.81666392143 
1.0 50.0 2424000.0 1250.5 3.9727 -2297.1 -17056.0 17.04 15.306 2.3189 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.5 2424000.0 1246.62882278 0.0 0.0 0.0 
1.0 50.0 1332900.0 1100.7 2.4819 -2639.8 -15630.0 17.04 15.306 2.2549 1.2761 1.741 1.0 1.0 0.66128 1508.2 807.12 153.576647268 1252.651635 2423083.27112 1244.36865991 0.00194341200445 4709.04911686 3.78428778271 
1.0 50.0 86388.0 584.76 0.30277 -3736.3 -10638.0 17.04 15.306 1.9823 1.3265 20.019 2.5295 4.0 1.4294 1988.5 1744.6 162.816663667 1195.56166869 1578817.92407 1199.21669569 0.00137985287324 2178.53644886 1.81663285433 
1.0 50.0 2425000.0 1250.5 3.9743 -2297.1 -17056.0 17.04 15.306 2.3189 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.5 2425000.0 1246.62882278 0.0 0.0 0.0 
1.0 50.0 1333500.0 1100.7 2.4829 -2639.8 -15630.0 17.04 15.306 2.2549 1.2761 1.741 1.0 1.0 0.66128 1508.2 807.13 153.57903488 1252.651635 2424174.01308 1244.36865991 0.00194253757835 4709.04911686 3.78428778271 
1.0 50.0 86425.0 584.79 0.30289 -3736.3 -10638.0 17.04 15.306 1.9823 1.3265 20.019 2.5295 4.0 1.4294 1988.5 1744.6 162.834280873 1195.62300471 1579494.13215 1199.24745706 0.00137926213496 2178.53644886 1.81658625668 
1.0 50.0 2426000.0 1250.5 3.9759 -2297.1 -17056.0 17.04 15.306 2.319 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.5 2426000.0 1246.62882278 0.0 0.0 0.0 
1.0 50.0 1334000.0 1100.7 2.4838 -2639.8 -15630.0 17.04 15.306 2.2549 1.2761 1.741 1.0 1.0 0.66129 1508.2 807.13 153.581022915 1252.651635 2425082.96472 1244.36865991 0.00194178012684 4708.97790682 3.78423055687 
1.0 50.0 86461.0 584.81 0.30301 -3736.3 -10638.0 17.04 15.306 1.9823 1.3265 20.019 2.5295 4.0 1.4294 1988.5 1744.6 162.850132018 1195.66389539 1580152.06433 1199.26796421 0.00137868784786 2178.53644886 1.81655519357 
1.0 50.0 2427000.0 1250.6 3.9775 -2297.1 -17056.0 17.041 15.306 2.319 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.6 2427000.0 1246.678667 0.0 0.0 0.0 
1.0 50.0 1334600.0 1100.8 2.4848 -2639.8 -15631.0 17.041 15.306 2.2549 1.2761 1.741 1.0 1.0 0.66129 1508.2 807.14 153.590383058 1252.76544 2426173.70668 1244.42518486 0.0019409071551 4708.97790682 3.78405866749 
1.0 50.0 86498.0 584.83 0.30313 -3736.4 -10638.0 17.041 15.306 1.9823 1.3265 20.019 2.5295 4.0 1.4294 1988.5 1744.7 162.866335198 1195.70478607 1580828.2724 1199.288471 0.00137809810647 2178.53644886 1.81652413205 
1.0 50.0 2428000.0 1250.6 3.9791 -2297.1 -17056.0 17.041 15.307 2.319 1.2665 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1250.6 2428000.0 1246.63794383 0.0 0.0 0.0 
