# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
4.0 20.0 1623700.0 683.74 6.1582 -7761.3 -14188.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.755005724 785.754008 2973716.68337 825.310951884 0.00147766154273 4394.146782 5.32423176012 
4.0 20.0 102080.0 348.98 0.75853 -8295.3 -11575.0 21.561 21.561 1.5219 1.3394 27.951 2.957 4.0 1.433 132.704466653 120.660819906 128.097140282 866.807403556 3700333.8919 857.430668405 0.000587261465215 2173.06350314 2.53438975676 
4.1 19.608 2800000.0 793.87 9.1549 -7549.5 -15040.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2800000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1528700.0 692.45 5.7303 -7722.6 -14256.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.172001241 795.4519375 2798894.49172 830.18706652 0.0015706228831 4396.00773607 5.29520142309 
4.1 19.608 96206.0 353.94 0.70554 -8263.0 -11603.0 21.582 21.582 1.5218 1.339 28.377 2.9825 4.0 1.435 133.479502346 121.537833979 129.463100009 887.594595654 3633448.65316 867.319202135 0.000597238340308 2170.03484321 2.50200253593 
4.1 19.608 2825000.0 793.87 9.2367 -7549.5 -15037.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2825000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1542400.0 692.45 5.7815 -7722.6 -14254.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.19922435 795.4519375 2823977.80076 830.18706652 0.00155667220007 4396.00773607 5.29520142309 
4.1 19.608 97065.0 353.94 0.71184 -8263.0 -11601.0 21.582 21.582 1.5218 1.339 28.361 2.9814 4.0 1.4349 133.479502346 121.537833979 129.501850558 887.201025291 3659474.54164 867.126890812 0.000593032155571 2170.18607568 2.50273183623 
4.1 19.608 2850000.0 793.87 9.3184 -7549.5 -15035.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2850000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1556000.0 692.45 5.8327 -7722.6 -14252.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.225774606 795.4519375 2848878.01996 830.18706652 0.0015430663248 4396.00773607 5.29520142309 
4.1 19.608 97924.0 353.94 0.71814 -8263.0 -11600.0 21.582 21.582 1.5218 1.339 28.344 2.9803 4.0 1.4349 133.479502346 121.527636141 129.539331179 886.807600111 3685397.71323 866.934607794 0.000588860753859 2170.18607568 2.50328693326 
4.1 19.608 2875000.0 793.87 9.4001 -7549.5 -15032.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2875000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1569700.0 692.45 5.8838 -7722.6 -14249.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.252054932 795.4519375 2873961.32901 830.18706652 0.00152959877772 4396.00773607 5.29520142309 
4.1 19.608 98783.0 353.94 0.72444 -8263.0 -11599.0 21.582 21.582 1.5218 1.339 28.328 2.9792 4.0 1.4348 133.479502346 121.517438303 129.575575601 886.414320114 3711218.43662 866.742353099 0.00058480452345 2170.33732924 2.50401670287 
4.1 19.608 2900000.0 793.87 9.4819 -7549.5 -15029.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2900000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1583300.0 692.45 5.935 -7722.6 -14247.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.2776936 795.4519375 2898861.5482 830.18706652 0.00151646005267 4396.00773607 5.29520142309 
4.1 19.608 99642.0 353.94 0.73074 -8263.0 -11598.0 21.582 21.582 1.5218 1.339 28.313 2.9782 4.0 1.4347 133.479502346 121.517438303 129.614996009 886.056918829 3737532.30513 866.567600697 0.0005807277173 2170.48860389 2.5046962316 
4.1 19.608 2925000.0 793.87 9.5636 -7549.5 -15027.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2925000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1597000.0 692.45 5.9862 -7722.6 -14245.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.303079284 795.4519375 2923944.85725 830.18706652 0.00150345097144 4396.00773607 5.29520142309 
4.1 19.608 100500.0 353.94 0.73704 -8263.0 -11597.0 21.582 21.582 1.5218 1.339 28.297 2.9771 4.0 1.4347 133.479502346 121.507240465 129.648758561 885.663915998 3763115.61732 866.375400126 0.000576779675303 2170.48860389 2.50525188455 
4.1 19.608 2950000.0 793.87 9.6454 -7549.5 -15024.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2950000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1610600.0 692.45 6.0373 -7722.6 -14242.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.327852519 795.4519375 2948845.07644 830.18706652 0.00149075574407 4396.00773607 5.29520142309 
4.1 19.608 101360.0 353.94 0.74333 -8263.0 -11596.0 21.582 21.582 1.5218 1.339 28.281 2.9761 4.0 1.4346 133.479502346 121.507240465 129.685925866 885.306766682 3789275.80872 866.200696959 0.000572837663236 2170.63989962 2.50593183225 
4.1 19.608 2975000.0 793.87 9.7271 -7549.5 -15022.0 21.582 21.582 1.7325 1.286 1.0 0.0 0.0 0.0 0.0 0.0 0.0 793.87 2975000.0 831.969391092 0.0 0.0 0.0 
4.1 19.608 1624200.0 692.45 6.0885 -7722.6 -14240.0 21.582 21.582 1.6804 1.2975 1.8316 1.0 1.0 0.70837 106.241076892 59.9969406486 103.352210884 795.4519375 2973745.29564 830.18706652 0.00147827311993 4396.00773607 5.29520142309 
4.1 19.608 102220.0 353.94 0.74963 -8263.0 -11594.0 21.582 21.582 1.5218 1.339 28.266 2.9751 4.0 1.4345 133.479502346 121.497042627 129.721955871 884.949737353 3815342.76859 866.026017259 0.000568963615622 2170.79121645 2.50661201071 
4.2 19.231 2800000.0 803.15 9.0575 -7510.5 -15099.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2800000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1529200.0 700.83 5.6688 -7685.4 -14307.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.741501488 804.763089 2798974.67598 834.849230695 0.00157119894188 4397.74604923 5.2677128846 
4.2 19.231 96332.0 358.72 0.69769 -8232.0 -11621.0 21.602 21.602 1.5217 1.3386 28.684 3.0001 4.0 1.4365 134.234142362 122.353661024 131.051204176 905.338103385 3743091.26738 875.63122678 0.000579138665839 2167.7688827 2.47566420247 
4.2 19.231 2825000.0 803.15 9.1384 -7510.5 -15096.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2825000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1542800.0 700.83 5.7194 -7685.4 -14305.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.768669826 804.763089 2823867.46671 834.849230695 0.00155734860119 4397.74604923 5.2677128846 
4.2 19.231 97192.0 358.72 0.70392 -8232.0 -11620.0 21.602 21.602 1.5217 1.3386 28.668 2.999 4.0 1.4365 134.234142362 122.343463186 131.087935444 904.937336955 3769902.89593 875.437397291 0.000575019819487 2167.7688827 2.47621233615 
4.2 19.231 2850000.0 803.15 9.2193 -7510.5 -15094.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2850000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1556500.0 700.83 5.77 -7685.4 -14302.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.795557913 804.763089 2848943.29267 834.849230695 0.00154364113197 4397.74604923 5.2677128846 
4.2 19.231 98052.0 358.72 0.71015 -8232.0 -11619.0 21.602 21.602 1.5217 1.3386 28.651 2.9979 4.0 1.4364 134.234142362 122.343463186 131.123422421 904.536717495 3796608.79009 875.243595981 0.00057101479751 2167.9197995 2.47693306121 
4.2 19.231 2875000.0 803.15 9.3001 -7510.5 -15091.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2875000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1570100.0 700.83 5.8206 -7685.4 -14300.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.821785635 804.763089 2873836.08341 834.849230695 0.00153027031521 4397.74604923 5.2677128846 
4.2 19.231 98912.0 358.72 0.71637 -8232.0 -11618.0 21.602 21.602 1.5217 1.3386 28.635 2.9968 4.0 1.4363 134.234142362 122.333265348 131.157698152 904.136245005 3823209.22595 875.04982287 0.00056708137305 2168.07073731 2.47765404969 
4.2 19.231 2900000.0 803.15 9.381 -7510.5 -15088.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2900000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1583800.0 700.83 5.8713 -7685.4 -14298.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.847750795 804.763089 2898911.90937 834.849230695 0.00151703335138 4397.74604923 5.2677128846 
4.2 19.231 99772.0 358.72 0.7226 -8232.0 -11617.0 21.602 21.602 1.5217 1.3386 28.619 2.9957 4.0 1.4362 134.234142362 122.32306751 131.190794543 903.735919485 3849704.47901 874.856077977 0.000563217698388 2168.22169614 2.47837530163 
4.2 19.231 2925000.0 803.15 9.4619 -7510.5 -15086.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2925000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1597400.0 700.83 5.9219 -7685.4 -14295.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.873085917 804.763089 2923804.70011 834.849230695 0.00150411757977 4397.74604923 5.2677128846 
4.2 19.231 100630.0 358.72 0.72883 -8232.0 -11615.0 21.602 21.602 1.5217 1.3386 28.602 2.9947 4.0 1.4362 134.234142362 122.32306751 131.226950047 903.372114729 3876634.83138 874.679970758 0.000559305116538 2168.22169614 2.47887429532 
4.2 19.231 2950000.0 803.15 9.5428 -7510.5 -15083.0 21.602 21.602 1.7353 1.285 1.0 0.0 0.0 0.0 0.0 0.0 0.0 803.15 2950000.0 836.660280131 0.0 0.0 0.0 
4.2 19.231 1611100.0 700.83 5.9725 -7685.4 -14293.0 21.602 21.602 1.6828 1.2966 1.8311 1.0 1.0 0.70809 106.822353661 60.3089944932 103.898174866 804.763089 2948880.52607 834.849230695 0.00149132730552 4397.74604923 5.2677128846 
