# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
1.5 40.0 2421000.0 1165.1 4.2978 -4159.5 -17924.0 17.197 17.197 2.2642 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.1 2421000.0 1133.63997971 0.0 0.0 0.0 
1.5 40.0 1328400.0 1022.9 2.686 -4476.7 -16561.0 17.197 17.197 2.1948 1.2825 1.731 0.99999 1.0 0.6561 148.021619417 78.7150724047 139.712605188 1167.38173532 2420040.41966 1131.29709355 0.00196121836257 4746.22770919 4.19538575345 
1.5 40.0 84747.0 533.56 0.32853 -5484.5 -11787.0 17.197 17.197 1.9166 1.3374 19.74 2.5141 4.0 1.4294 195.79849072 171.486844789 145.724503027 1102.49603603 1504881.75314 1083.33087643 0.00144764626477 2178.53644886 2.0109612827 
1.5 40.0 2422000.0 1165.2 4.2995 -4159.5 -17924.0 17.198 17.198 2.2642 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.2 2422000.0 1133.65566819 0.0 0.0 0.0 
1.5 40.0 1328900.0 1023.0 2.6871 -4476.7 -16561.0 17.198 17.198 2.1948 1.2825 1.731 0.99999 1.0 0.6561 148.021619417 78.7150724047 139.71718958 1167.49586004 2420951.30509 1131.31949826 0.00196048045213 4746.22770919 4.1953026678 
1.5 40.0 84783.0 533.58 0.32866 -5484.5 -11788.0 17.198 17.198 1.9166 1.3374 19.74 2.5141 4.0 1.4294 195.79849072 171.486844789 145.735631126 1102.53736206 1505521.01758 1083.31968318 0.00144703157473 2178.53644886 2.01098206069 
1.5 40.0 2423000.0 1165.2 4.3012 -4159.5 -17924.0 17.198 17.198 2.2642 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.2 2423000.0 1133.65566819 0.0 0.0 0.0 
1.5 40.0 1329500.0 1023.0 2.6881 -4476.7 -16561.0 17.198 17.198 2.1948 1.2825 1.731 0.99999 1.0 0.6561 148.021619417 78.7160921885 139.719368728 1167.49586004 2422044.36761 1131.31949826 0.00195959569224 4746.22770919 4.1953026678 
1.5 40.0 84819.0 533.6 0.32879 -5484.5 -11788.0 17.198 17.198 1.9166 1.3374 19.741 2.5141 4.0 1.4294 195.79849072 171.497042627 145.750985655 1102.5786881 1506160.28201 1083.33998584 0.00144641740648 2178.53644886 2.01094437326 
1.5 40.0 2424000.0 1165.2 4.3029 -4159.5 -17924.0 17.198 17.198 2.2642 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.2 2424000.0 1133.65566819 0.0 0.0 0.0 
1.5 40.0 1330000.0 1023.0 2.6892 -4476.7 -16561.0 17.198 17.198 2.1949 1.2825 1.731 0.99999 1.0 0.65611 148.031817255 78.7160921885 139.721183184 1167.49586004 2422955.25305 1131.31949826 0.00195882914648 4746.15537029 4.19523872574 
1.5 40.0 84855.0 533.62 0.32892 -5484.6 -11788.0 17.198 17.198 1.9166 1.3373 19.741 2.5141 4.0 1.4294 195.808688558 171.497042627 145.761093857 1102.45137158 1506846.68566 1083.30574968 0.00144575852977 2178.53644886 2.01100792597 
1.5 40.0 2425000.0 1165.3 4.3046 -4159.5 -17924.0 17.198 17.198 2.2642 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.3 2425000.0 1133.70431355 0.0 0.0 0.0 
1.5 40.0 1330600.0 1023.0 2.6903 -4476.7 -16561.0 17.198 17.198 2.1949 1.2825 1.731 0.99999 1.0 0.65611 148.031817255 78.7171119723 139.72335873 1167.49586004 2424048.31557 1131.31949826 0.00195794586263 4746.15537029 4.19523872574 
1.5 40.0 84891.0 533.64 0.32905 -5484.6 -11788.0 17.198 17.198 1.9166 1.3373 19.741 2.5142 4.0 1.4294 195.808688558 171.497042627 145.78310172 1102.53794518 1507731.31237 1083.34828392 0.00144491026417 2178.53644886 2.01092897012 
1.5 40.0 2426000.0 1165.3 4.3063 -4159.5 -17924.0 17.198 17.198 2.2643 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.3 2426000.0 1133.70431355 0.0 0.0 0.0 
1.5 40.0 1331100.0 1023.1 2.6913 -4476.7 -16561.0 17.198 17.198 2.1949 1.2825 1.731 0.99999 1.0 0.65611 148.031817255 78.7171119723 139.731999207 1167.60998476 2424959.201 1131.37479112 0.00195721040104 4746.15537029 4.19503369489 
1.5 40.0 84927.0 533.66 0.32918 -5484.6 -11788.0 17.198 17.198 1.9166 1.3373 19.741 2.5142 4.0 1.4294 195.808688558 171.497042627 145.798422629 1102.57926659 1508370.70085 1083.36858483 0.00144429777616 2178.53644886 2.01089128793 
1.5 40.0 2427000.0 1165.3 4.3081 -4159.5 -17924.0 17.199 17.199 2.2643 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.3 2427000.0 1133.67135463 0.0 0.0 0.0 
1.5 40.0 1331700.0 1023.1 2.6924 -4476.7 -16561.0 17.199 17.199 2.1949 1.2825 1.731 0.99999 1.0 0.65611 148.031817255 78.7181317561 139.730108931 1167.60998476 2426052.26352 1131.34189993 0.00195632857612 4746.15537029 4.19515565595 
1.5 40.0 84962.0 533.68 0.32931 -5484.6 -11788.0 17.199 17.199 1.9166 1.3373 19.741 2.5142 4.0 1.4294 195.808688558 171.497042627 145.809144958 1102.62058801 1508992.32854 1083.35738922 0.00144370279932 2178.53644886 2.01091206885 
1.5 40.0 2428000.0 1165.3 4.3098 -4159.5 -17924.0 17.199 17.199 2.2643 1.2715 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1165.3 2428000.0 1133.67135463 0.0 0.0 0.0 
1.5 40.0 1332200.0 1023.1 2.6935 -4476.7 -16562.0 17.199 17.199 2.1949 1.2825 1.731 0.99999 1.0 0.65611 148.031817255 78.7181317561 139.731917433 1167.60998476 2426963.14895 1131.34189993 0.0019555943288 4746.15537029 4.19515565595 
1.5 40.0 84998.0 533.7 0.32944 -5484.6 -11789.0 17.199 17.199 1.9166 1.3373 19.741 2.5142 4.0 1.4294 195.808688558 171.497042627 145.824445228 1102.66190942 1509631.71702 1083.37768878 0.00144309133433 2178.53644886 2.0108743898 
2.0 33.333 2421000.0 1266.5 3.8289 -4743.5 -20148.0 16.654 16.654 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.5 2421000.0 1196.18394092 0.0 0.0 0.0 
2.0 33.333 1322000.0 1104.8 2.3968 -5101.2 -18539.0 16.654 16.654 2.1804 1.297 1.7636 1.0 1.0 0.67456 155.190699572 84.3187844177 147.659048527 1268.8628 2420046.62119 1193.77329922 0.00190754279869 4616.34250474 3.86701772251 
2.0 33.333 82963.0 563.36 0.29497 -6219.4 -13072.0 16.654 16.654 1.9473 1.3448 20.844 2.5852 4.0 1.4314 202.916581685 178.931266571 156.902995536 1212.45993212 1648918.13696 1152.22253906 0.00131934537927 2175.4925248 1.88808363928 
2.0 33.333 2422000.0 1266.5 3.8304 -4743.5 -20148.0 16.654 16.654 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.5 2422000.0 1196.18394092 0.0 0.0 0.0 
2.0 33.333 1322600.0 1104.9 2.3977 -5101.2 -18539.0 16.654 16.654 2.1804 1.297 1.7636 1.0 1.0 0.67456 155.20089741 84.3187844177 147.668043403 1268.97765 2421144.9782 1193.82732467 0.00190667743828 4616.34250474 3.86684272454 
2.0 33.333 82998.0 563.37 0.29509 -6219.4 -13072.0 16.654 16.654 1.9473 1.3448 20.844 2.5852 4.0 1.4314 202.916581685 178.931266571 156.916567504 1212.48145406 1649613.77399 1152.23276536 0.0013187890154 2175.4925248 1.88806688215 
2.0 33.333 2423000.0 1266.6 3.832 -4743.5 -20148.0 16.654 16.654 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.6 2423000.0 1196.23116399 0.0 0.0 0.0 
2.0 33.333 1323100.0 1104.9 2.3987 -5101.2 -18539.0 16.654 16.654 2.1804 1.297 1.7636 1.0 1.0 0.67456 155.20089741 84.3198042015 147.669968811 1268.97765 2422060.27571 1193.82732467 0.00190595690414 4616.34250474 3.86684272454 
2.0 33.333 83033.0 563.39 0.29521 -6219.5 -13072.0 16.654 16.654 1.9473 1.3448 20.844 2.5852 4.0 1.4314 202.916581685 178.931266571 156.931522158 1212.52449794 1650309.41102 1152.25321768 0.00131823312057 2175.4925248 1.88803336925 
2.0 33.333 2424000.0 1266.6 3.8335 -4743.5 -20148.0 16.655 16.655 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.6 2424000.0 1196.19525138 0.0 0.0 0.0 
2.0 33.333 1323700.0 1104.9 2.3997 -5101.2 -18539.0 16.655 16.655 2.1804 1.297 1.7636 1.0 1.0 0.67456 155.20089741 84.3198042015 147.667844042 1268.97765 2423158.63273 1193.79148422 0.00190509298169 4616.34250474 3.86695881631 
2.0 33.333 83067.0 563.4 0.29533 -6219.5 -13072.0 16.655 16.655 1.9473 1.3448 20.844 2.5852 4.0 1.4314 202.916581685 178.931266571 156.940015132 1212.54601988 1650985.17271 1152.22885107 0.00131769355701 2175.4925248 1.88807329619 
2.0 33.333 2425000.0 1266.6 3.8351 -4743.5 -20148.0 16.655 16.655 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.6 2425000.0 1196.19525138 0.0 0.0 0.0 
2.0 33.333 1324200.0 1104.9 2.4006 -5101.2 -18539.0 16.655 16.655 2.1804 1.2969 1.7636 1.0 1.0 0.67456 155.20089741 84.3198042015 147.668808664 1268.922405 2423993.56403 1193.79792841 0.00190443678286 4616.34250474 3.86693794225 
2.0 33.333 83102.0 563.41 0.29545 -6219.5 -13072.0 16.655 16.655 1.9473 1.3448 20.844 2.5852 4.0 1.4314 202.916581685 178.931266571 156.953556925 1212.56754182 1651680.80974 1152.2390767 0.00131713858512 2175.4925248 1.88805654035 
2.0 33.333 2426000.0 1266.6 3.8366 -4743.5 -20148.0 16.655 16.655 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.6 2426000.0 1196.19525138 0.0 0.0 0.0 
2.0 33.333 1324800.0 1104.9 2.4016 -5101.2 -18539.0 16.655 16.655 2.1805 1.2969 1.7636 1.0 1.0 0.67456 155.20089741 84.3208239853 147.67111342 1268.922405 2425091.88463 1193.79792841 0.0019035742662 4616.34250474 3.86693794225 
2.0 33.333 83137.0 563.42 0.29557 -6219.5 -13072.0 16.655 16.655 1.9473 1.3448 20.844 2.5852 4.0 1.4314 202.916581685 178.931266571 156.967088691 1212.58906375 1652376.44676 1152.24930223 0.0013165840805 2175.4925248 1.88803978495 
2.0 33.333 2427000.0 1266.6 3.8382 -4743.5 -20148.0 16.655 16.655 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.6 2427000.0 1196.19525138 0.0 0.0 0.0 
2.0 33.333 1325300.0 1105.0 2.4026 -5101.2 -18539.0 16.655 16.655 2.1805 1.2969 1.7636 1.0 1.0 0.67455 155.20089741 84.3208239853 147.679714947 1269.03725 2426007.15179 1193.85195008 0.00190288430816 4616.41094063 3.86682028731 
2.0 33.333 83172.0 563.44 0.29569 -6219.5 -13072.0 16.655 16.655 1.9473 1.3447 20.845 2.5852 4.0 1.4314 202.916581685 178.931266571 156.976443716 1212.44382686 1653136.81029 1152.21020027 0.00131597851506 2175.4925248 1.88810385838 
2.0 33.333 2428000.0 1266.6 3.8397 -4743.5 -20148.0 16.655 16.655 2.2438 1.2862 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1266.6 2428000.0 1196.19525138 0.0 0.0 0.0 
2.0 33.333 1325900.0 1105.0 2.4036 -5101.2 -18539.0 16.655 16.655 2.1805 1.2969 1.7636 1.0 1.0 0.67455 155.20089741 84.3208239853 147.682015984 1269.03725 2427105.47239 1193.85195008 0.00190202320959 4616.41094063 3.86682028731 
2.0 33.333 83206.0 563.45 0.29581 -6219.5 -13072.0 16.655 16.655 1.9473 1.3447 20.845 2.5852 4.0 1.4314 202.926779523 178.931266571 156.989608335 1212.46534545 1653812.59843 1152.22042501 0.00131544077416 2175.4925248 1.88808710346 
2.5 28.571 2421000.0 1546.9 3.2927 -5160.6 -24188.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2421000.0 1298.84957984 0.0 0.0 0.0 
2.5 28.571 1333700.0 1364.8 2.0559 -5572.7 -22360.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.914008083 1549.52568 2420160.84198 1296.53409361 0.00185962240946 4500.58533624 3.471243339 
2.5 28.571 87212.0 733.22 0.25024 -6899.3 -15918.0 17.493 17.493 1.9615 1.3198 22.865 2.6634 4.0 1.4297 213.512135427 190.23047114 180.489915286 1564.89865838 1992433.65998 1285.65459425 0.00109317532678 2178.07931734 1.6941403446 
2.5 28.571 2422000.0 1546.9 3.2941 -5160.6 -24188.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2422000.0 1298.84957984 0.0 0.0 0.0 
2.5 28.571 1334200.0 1364.8 2.0568 -5572.7 -22360.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.916082584 1549.52568 2421068.15279 1296.53409361 0.00185892550404 4500.58533624 3.471243339 
2.5 28.571 87248.0 733.22 0.25035 -6899.3 -15918.0 17.493 17.493 1.9615 1.3198 22.865 2.6634 4.0 1.4297 213.512135427 190.23047114 180.500919834 1564.89865838 1993256.11115 1285.65459425 0.00109272426416 2178.07931734 1.6941403446 
2.5 28.571 2423000.0 1546.9 3.2954 -5160.6 -24187.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2423000.0 1298.84957984 0.0 0.0 0.0 
2.5 28.571 1334800.0 1364.8 2.0576 -5572.7 -22360.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.918569932 1549.52568 2422156.92576 1296.53409361 0.00185808990672 4500.58533624 3.471243339 
2.5 28.571 87284.0 733.22 0.25045 -6899.3 -15918.0 17.493 17.493 1.9615 1.3198 22.864 2.6634 4.0 1.4297 213.512135427 190.23047114 180.511915303 1564.89865838 1994078.56232 1285.65459425 0.00109227357362 2178.07931734 1.6941403446 
2.5 28.571 2424000.0 1546.9 3.2968 -5160.6 -24187.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2424000.0 1298.84957984 0.0 0.0 0.0 
2.5 28.571 1335300.0 1364.8 2.0585 -5572.7 -22359.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.920641016 1549.52568 2423064.23656 1296.53409361 0.00185739414925 4500.58533624 3.471243339 
2.5 28.571 87320.0 733.22 0.25055 -6899.3 -15918.0 17.493 17.493 1.9615 1.3198 22.864 2.6634 4.0 1.4297 213.512135427 190.23047114 180.522901706 1564.89865838 1994901.0135 1285.65459425 0.00109182325469 2178.07931734 1.6941403446 
2.5 28.571 2425000.0 1546.9 3.2982 -5160.6 -24187.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2425000.0 1298.84957984 0.0 0.0 0.0 
2.5 28.571 1335900.0 1364.8 2.0593 -5572.7 -22359.0 17.493 17.493 2.2308 1.2707 1.7985 1.0 1.0 0.69191 166.051397104 92.0660819906 159.923124269 1549.52568 2424153.00953 1296.53409361 0.00185655992776 4500.58533624 3.471243339 
2.5 28.571 87356.0 733.22 0.25066 -6899.3 -15918.0 17.493 17.493 1.9615 1.3198 22.864 2.6634 4.0 1.4297 213.512135427 190.23047114 180.533879054 1564.89865838 1995723.46467 1285.65459425 0.00109137330692 2178.07931734 1.6941403446 
2.5 28.571 2426000.0 1546.9 3.2995 -5160.6 -24186.0 17.493 17.493 2.2945 1.2613 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1546.9 2426000.0 1298.84957984 0.0 0.0 0.0 
