# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 at p0at m_dot 
4.1 19.608 124400.0 1334.2 0.22845 -7883.4 -24106.0 0.0 20.371 2.1079 1.2401 23.535 2.6315 4.0 1.4334 2431.2 2173.5 247.801895989 2443.34889128 2831269.55044 0.000767308465802 2172.45709502 1.42753524289 
4.1 19.608 3200000.0 2366.6 3.3129 -5528.3 -34242.0 0.0 20.371 2.4154 1.2033 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2366.6 3200000.0 0.0 0.0 0.0 
4.1 19.608 1800900.0 2145.5 2.0566 -6057.2 -32088.0 0.0 20.371 2.3686 1.2082 1.7725 0.99999 1.0 0.67752 1882.8 1027.3 191.713053649 2368.84208309 3199380.02811 0.00143658278863 4596.17428268 3.03885673356 
4.1 19.608 132700.0 1334.4 0.24365 -7883.6 -24074.0 0.0 20.371 2.108 1.2401 23.535 2.6315 4.0 1.4334 2431.2 2173.5 247.820482259 2443.71515555 3020172.58315 0.000719315547443 2172.45709502 1.42742825932 
4.1 19.608 3400000.0 2366.8 3.5197 -5528.3 -34186.0 0.0 20.372 2.4155 1.2033 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2366.8 3400000.0 0.0 0.0 0.0 
4.1 19.608 1913500.0 2145.7 2.185 -6057.3 -32038.0 0.0 20.372 2.3687 1.2082 1.7726 0.99999 1.0 0.67755 1882.8 1027.4 191.717286319 2369.06290267 3399419.00371 0.00135198714017 4595.97077706 3.03865513923 
4.1 19.608 141000.0 1334.6 0.25886 -7883.8 -24043.0 0.0 20.372 2.108 1.2401 23.536 2.6316 4.0 1.4334 2431.2 2173.5 247.836973904 2444.16574453 3209647.50906 0.000676852236542 2172.45709502 1.42733171014 
4.1 19.608 3600000.0 2367.0 3.7265 -5528.3 -34134.0 0.0 20.372 2.4155 1.2033 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2367.0 3600000.0 0.0 0.0 0.0 
4.1 19.608 2026100.0 2145.9 2.3133 -6057.3 -31991.0 0.0 20.372 2.3687 1.2082 1.7726 0.99999 1.0 0.67758 1882.8 1027.4 191.726223619 2369.28372226 3599457.97931 0.00127679426066 4595.76728947 3.03837900226 
4.1 19.608 149300.0 1334.7 0.27407 -7884.0 -24014.0 0.0 20.372 2.1081 1.2401 23.537 2.6316 4.0 1.4334 2431.2 2173.5 247.846269693 2444.34888298 3398584.2064 0.000639224148375 2172.45709502 1.42727823901 
4.1 19.608 3800000.0 2367.2 3.9333 -5528.3 -34084.0 0.0 20.373 2.4155 1.2033 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2367.2 3800000.0 0.0 0.0 0.0 
4.1 19.608 2138600.0 2146.1 2.4417 -6057.3 -31946.0 0.0 20.373 2.3688 1.2082 1.7727 0.99999 1.0 0.6776 1882.8 1027.5 191.730454555 2369.50454184 3799319.30041 0.0012095934239 4595.63164109 3.03822231161 
4.1 19.608 157590.0 1334.9 0.28927 -7884.2 -23987.0 0.0 20.373 2.1081 1.2401 23.537 2.6316 4.0 1.4335 2431.2 2173.6 247.858764927 2444.71515988 3587293.26917 0.000605555604984 2172.30554587 1.42710678114 
4.1 19.608 4000000.0 2367.4 4.14 -5528.3 -34037.0 0.0 20.373 2.4156 1.2033 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2367.4 4000000.0 0.0 0.0 0.0 
4.1 19.608 2251200.0 2146.3 2.57 -6057.4 -31903.0 0.0 20.373 2.3688 1.2082 1.7727 0.99999 1.0 0.67763 1882.9 1027.5 191.739390305 2369.72536143 3999358.27601 0.00114904138774 4595.42818352 3.03794625028 
4.1 19.608 165890.0 1335.0 0.30448 -7884.3 -23961.0 0.0 20.373 2.1082 1.2401 23.537 2.6317 4.0 1.4335 2431.3 2173.6 247.872049822 2444.98265152 3776902.93533 0.000575155248377 2172.30554587 1.42702871319 
4.1 19.608 4200000.0 2367.6 4.3468 -5528.3 -33992.0 0.0 20.373 2.4156 1.2033 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2367.6 4200000.0 0.0 0.0 0.0 
4.1 19.608 2363700.0 2146.5 2.6984 -6057.4 -31862.0 0.0 20.373 2.3688 1.2081 1.7727 0.99999 1.0 0.67765 1882.9 1027.5 191.747577475 2369.83885816 4199075.40595 0.00109435818862 4595.29255515 3.03769365182 
4.1 19.608 174190.0 1335.2 0.31968 -7884.5 -23936.0 0.0 20.373 2.1082 1.24 23.538 2.6317 4.0 1.4335 2431.3 2173.6 247.877940903 2444.88657166 3966163.15317 0.00054770957774 2172.30554587 1.42701574123 
4.1 19.608 4400000.0 2367.8 4.5535 -5528.3 -33949.0 0.0 20.374 2.4156 1.2033 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2367.8 4400000.0 0.0 0.0 0.0 
4.1 19.608 2476300.0 2146.6 2.8267 -6057.4 -31824.0 0.0 20.374 2.3689 1.2081 1.7728 0.99999 1.0 0.67767 1882.9 1027.6 191.747339772 2369.94926295 4399107.5127 0.00104456572646 4595.15693479 3.03760779314 
4.1 19.608 182490.0 1335.3 0.33488 -7884.6 -23912.0 0.0 20.374 2.1083 1.24 23.538 2.6317 4.0 1.4335 2431.3 2173.6 247.881146876 2445.06968179 4155147.33235 0.000522798681278 2172.30554587 1.42699732645 
4.2 19.231 3000000.0 2392.2 3.0912 -5559.3 -34611.0 0.0 20.494 2.4187 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2392.2 3000000.0 0.0 0.0 0.0 
4.2 19.231 1689500.0 2170.6 1.9186 -6090.4 -32450.0 0.0 20.494 2.3725 1.2063 1.7712 0.99999 1.0 0.67677 1888.1 1029.4 192.237469199 2394.49291207 2999514.59664 0.00153400413248 4601.26778669 3.03329391813 
4.2 19.231 124970.0 1356.3 0.22711 -7928.1 -24399.0 0.0 20.494 2.1144 1.2374 23.463 2.6285 4.0 1.4333 2439.4 2180.1 248.630661115 2468.60129645 2834653.05829 0.000766446059057 2172.60866532 1.42348914987 
4.2 19.231 3200000.0 2392.5 3.2969 -5559.3 -34552.0 0.0 20.495 2.4187 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2392.5 3200000.0 0.0 0.0 0.0 
4.2 19.231 1802100.0 2170.9 2.0463 -6090.5 -32397.0 0.0 20.495 2.3726 1.2063 1.7713 0.99999 1.0 0.67681 1888.2 1029.4 192.246066393 2394.82385646 3199423.05688 0.00143807047907 4600.99584817 3.03297905951 
4.2 19.231 133300.0 1356.5 0.24223 -7928.4 -24367.0 0.0 20.495 2.1145 1.2374 23.464 2.6286 4.0 1.4333 2439.4 2180.1 248.646920793 2469.04996441 3024140.04979 0.000718421974362 2172.60866532 1.42339453386 
4.2 19.231 3400000.0 2392.8 3.5026 -5559.3 -34496.0 0.0 20.495 2.4188 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2392.8 3400000.0 0.0 0.0 0.0 
4.2 19.231 1914800.0 2171.1 2.174 -6090.5 -32347.0 0.0 20.495 2.3726 1.2062 1.7713 0.99999 1.0 0.67684 1888.2 1029.5 192.254179756 2394.93593321 3399392.23523 0.00135341602175 4600.79191537 3.03268344161 
4.2 19.231 141640.0 1356.7 0.25734 -7928.6 -24336.0 0.0 20.495 2.1145 1.2374 23.464 2.6286 4.0 1.4334 2439.5 2180.2 248.665262437 2469.41399684 3213347.31172 0.000676072918447 2172.45709502 1.42319031939 
4.2 19.231 3600000.0 2393.0 3.7084 -5559.3 -34444.0 0.0 20.496 2.4188 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2393.0 3600000.0 0.0 0.0 0.0 
4.2 19.231 2027400.0 2171.4 2.3017 -6090.6 -32299.0 0.0 20.496 2.3727 1.2062 1.7714 0.99999 1.0 0.67687 1888.2 1029.5 192.262774162 2395.2668626 3599293.82584 0.00127819184075 4600.58800065 3.03241350941 
4.2 19.231 149970.0 1356.9 0.27245 -7928.8 -24307.0 0.0 20.496 2.1146 1.2374 23.465 2.6287 4.0 1.4334 2439.5 2180.2 248.681516897 2469.86270547 3402935.75784 0.000638406731604 2172.45709502 1.42309575238 
4.2 19.231 3800000.0 2393.3 3.9141 -5559.3 -34394.0 0.0 20.496 2.4189 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2393.3 3800000.0 0.0 0.0 0.0 
4.2 19.231 2140000.0 2171.6 2.4293 -6090.6 -32255.0 0.0 20.496 2.3727 1.2062 1.7714 0.99999 1.0 0.6769 1888.2 1029.6 192.271630573 2395.48748218 3799195.41644 0.00121088377926 4600.384104 3.03213947715 
4.2 19.231 158310.0 1357.1 0.28757 -7929.0 -24280.0 0.0 20.496 2.1147 1.2374 23.465 2.6287 4.0 1.4334 2439.5 2180.2 248.699853171 2470.22675038 3592176.83419 0.000604774540703 2172.45709502 1.42299088552 
4.2 19.231 4000000.0 2393.5 4.1198 -5559.3 -34347.0 0.0 20.497 2.4189 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2393.5 4000000.0 0.0 0.0 0.0 
4.2 19.231 2252700.0 2171.8 2.557 -6090.6 -32212.0 0.0 20.497 2.3728 1.2062 1.7714 0.99999 1.0 0.67693 1888.3 1029.6 192.275795837 2395.70810177 3999274.53954 0.00115025367225 4600.18022543 3.03193944994 
4.2 19.231 166650.0 1357.3 0.30268 -7929.2 -24254.0 0.0 20.497 2.1147 1.2373 23.466 2.6287 4.0 1.4334 2439.5 2180.2 248.699350055 2470.12184382 3781695.53282 0.000574466420198 2172.45709502 1.42301480844 
4.2 19.231 4200000.0 2393.7 4.3255 -5559.3 -34302.0 0.0 20.497 2.419 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2393.7 4200000.0 0.0 0.0 0.0 
4.2 19.231 2365300.0 2172.0 2.6847 -6090.7 -32171.0 0.0 20.497 2.3728 1.2062 1.7715 0.99999 1.0 0.67695 1888.3 1029.7 192.284650792 2395.92872136 4199176.13014 0.00109546353233 4600.04431642 3.03171028233 
4.2 19.231 174980.0 1357.4 0.31779 -7929.4 -24229.0 0.0 20.497 2.1148 1.2373 23.466 2.6288 4.0 1.4334 2439.5 2180.2 248.712502599 2470.38850666 3971433.29141 0.000547020920563 2172.45709502 1.42293800364 
4.2 19.231 4400000.0 2393.9 4.5312 -5559.3 -34259.0 0.0 20.498 2.419 1.2015 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2393.9 4400000.0 0.0 0.0 0.0 
4.2 19.231 2478000.0 2172.2 2.8124 -6090.7 -32133.0 0.0 20.498 2.3729 1.2062 1.7715 0.99999 1.0 0.67698 1888.3 1029.7 192.28881457 2396.14934095 4399255.25324 0.00104559526628 4599.84046796 3.03151031545 
4.2 19.231 183320.0 1357.6 0.3329 -7929.5 -24205.0 0.0 20.498 2.1148 1.2373 23.467 2.6288 4.0 1.4334 2439.5 2180.2 248.724764595 2470.75249495 4160722.08813 0.000522134631683 2172.45709502 1.42286789492 
4.3 18.868 3000000.0 2416.9 3.0774 -5589.2 -34904.0 0.0 20.614 2.4218 1.1998 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2416.9 3000000.0 0.0 0.0 0.0 
4.3 18.868 1690600.0 2194.8 1.9097 -6122.3 -32743.0 0.0 20.614 2.3762 1.2044 1.7699 0.99999 1.0 0.67606 1893.1 1031.3 192.728516319 2419.10407385 2999507.71345 0.00153561867157 4606.10005029 3.02811190302 
4.3 18.868 125500.0 1377.6 0.22588 -7970.8 -24679.0 0.0 20.614 2.1206 1.2349 23.392 2.6257 4.0 1.4332 2447.2 2186.3 249.412454283 2493.0917523 2837658.45374 0.000765687728876 2172.76025677 1.41969586003 
4.3 18.868 3200000.0 2417.3 3.2822 -5589.2 -34845.0 0.0 20.615 2.4219 1.1998 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2417.3 3200000.0 0.0 0.0 0.0 
4.3 18.868 1803300.0 2195.1 2.0368 -6122.4 -32690.0 0.0 20.615 2.3763 1.2044 1.77 0.99999 1.0 0.6761 1893.2 1031.4 192.737016008 2419.43473324 3199463.06617 0.00143956265319 4605.8275403 3.02779927111 
4.3 18.868 133880.0 1377.8 0.24091 -7971.0 -24647.0 0.0 20.615 2.1207 1.2348 23.393 2.6257 4.0 1.4333 2447.2 2186.3 249.411675084 2492.97875106 3027360.20875 0.000717657799371 2172.60866532 1.41962240143 
4.3 18.868 3400000.0 2417.6 3.487 -5589.2 -34790.0 0.0 20.616 2.4219 1.1998 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2417.6 3400000.0 0.0 0.0 0.0 
4.3 18.868 1916000.0 2195.4 2.1639 -6122.4 -32640.0 0.0 20.616 2.3764 1.2044 1.77 0.99999 1.0 0.67614 1893.2 1031.4 192.745514114 2419.76539262 3399418.41889 0.00135480676252 4605.55506256 3.0274867068 
4.3 18.868 142250.0 1378.1 0.25594 -7971.3 -24616.0 0.0 20.616 2.1208 1.2348 23.394 2.6258 4.0 1.4333 2447.2 2186.4 249.43676098 2493.60653178 3217203.18728 0.000675309745405 2172.60866532 1.41947811789 
4.3 18.868 3600000.0 2417.9 3.6918 -5589.2 -34738.0 0.0 20.616 2.422 1.1998 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2417.9 3600000.0 0.0 0.0 0.0 
4.3 18.868 2028700.0 2195.7 2.2909 -6122.5 -32593.0 0.0 20.616 2.3764 1.2044 1.7701 0.99999 1.0 0.67617 1893.3 1031.5 192.758685509 2420.09605201 3599373.77161 0.00127948666008 4605.35072541 3.02714556297 
4.3 18.868 150620.0 1378.3 0.27097 -7971.5 -24587.0 0.0 20.616 2.1209 1.2348 23.394 2.6258 4.0 1.4333 2447.2 2186.4 249.454871299 2493.96842229 3406503.64898 0.00063778257392 2172.60866532 1.41937512656 
4.3 18.868 3800000.0 2418.2 3.8965 -5589.2 -34689.0 0.0 20.617 2.422 1.1998 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2418.2 3800000.0 0.0 0.0 0.0 
4.3 18.868 2141400.0 2196.0 2.418 -6122.5 -32548.0 0.0 20.617 2.3765 1.2044 1.7702 0.99999 1.0 0.67621 1893.3 1031.5 192.767180607 2420.4267114 3799329.12433 0.00121207669917 4605.07830408 3.02683313763 
4.3 18.868 158990.0 1378.5 0.28599 -7971.8 -24560.0 0.0 20.617 2.1209 1.2348 23.395 2.6259 4.0 1.4333 2447.2 2186.4 249.470901633 2494.41530415 3596448.49785 0.000604098367214 2172.60866532 1.41928239885 
4.3 18.868 4000000.0 2418.4 4.1013 -5589.2 -34642.0 0.0 20.617 2.4221 1.1998 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2418.4 4000000.0 0.0 0.0 0.0 
4.3 18.868 2254100.0 2196.2 2.5451 -6122.6 -32505.0 0.0 20.617 2.3765 1.2044 1.7702 0.99999 1.0 0.67624 1893.3 1031.6 192.77596058 2420.64715099 3999284.47704 0.00115142446997 4604.87400923 3.02656103998 
4.3 18.868 167370.0 1378.7 0.30102 -7972.0 -24534.0 0.0 20.617 2.121 1.2348 23.396 2.6259 4.0 1.4333 2447.3 2186.4 249.489007058 2494.77720699 3786009.08915 0.000573851941228 2172.60866532 1.41917945159 
4.3 18.868 4200000.0 2418.7 4.306 -5589.2 -34597.0 0.0 20.618 2.4221 1.1998 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2418.7 4200000.0 0.0 0.0 0.0 
4.3 18.868 2366800.0 2196.4 2.6721 -6122.6 -32465.0 0.0 20.618 2.3766 1.2044 1.7703 0.99999 1.0 0.67627 1893.4 1031.6 192.780064745 2420.86759058 4199239.82976 0.0010965484038 4604.6697325 3.02636237746 
4.3 18.868 175740.0 1378.9 0.31605 -7972.1 -24509.0 0.0 20.618 2.1211 1.2348 23.396 2.626 4.0 1.4333 2447.3 2186.5 249.50503345 2495.22412909 3976055.87999 0.000546423071228 2172.60866532 1.41908676478 
4.3 18.868 4400000.0 2418.9 4.5108 -5589.2 -34554.0 0.0 20.618 2.4221 1.1997 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2418.9 4400000.0 0.0 0.0 0.0 
4.3 18.868 2479600.0 2196.6 2.7992 -6122.6 -32426.0 0.0 20.618 2.3766 1.2044 1.7703 0.99999 1.0 0.67629 1893.4 1031.7 192.788843341 2421.08803017 4399372.60516 0.00104663413885 4604.53355809 3.0261351046 
4.3 18.868 184110.0 1379.0 0.33107 -7972.3 -24485.0 0.0 20.618 2.1211 1.2347 23.397 2.626 4.0 1.4333 2447.3 2186.5 249.501233274 2494.92961602 4165731.50188 0.000521543134582 2172.60866532 1.41912951601 
4.4 18.519 3000000.0 2440.6 3.0648 -5618.0 -35182.0 0.0 20.731 2.4247 1.1982 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2440.6 3000000.0 0.0 0.0 0.0 
4.4 18.519 1691600.0 2218.0 1.9016 -6152.9 -33020.0 0.0 20.731 2.3798 1.2027 1.7687 0.99999 1.0 0.67535 1897.8 1033.0 193.184355634 2442.78980414 2999527.20155 0.00153722309032 4610.94247427 3.0235783315 
4.4 18.519 126020.0 1398.0 0.22475 -8011.4 -24946.0 0.0 20.731 2.1266 1.2324 23.323 2.6229 4.0 1.4332 2454.5 2192.1 250.10822082 2515.57522535 2840375.20137 0.00076495536777 2172.76025677 1.41631784159 
4.4 18.519 3200000.0 2441.0 3.2688 -5618.0 -35124.0 0.0 20.732 2.4248 1.1982 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2441.0 3200000.0 0.0 0.0 0.0 
4.4 18.519 1804400.0 2218.3 2.0281 -6153.0 -32968.0 0.0 20.732 2.3798 1.2027 1.7687 0.99999 1.0 0.6754 1897.9 1033.1 193.192763786 2443.12020853 3199542.96671 0.00144101866211 4610.60112526 3.02322296408 
4.4 18.519 134420.0 1398.3 0.2397 -8011.7 -24914.0 0.0 20.732 2.1267 1.2324 23.324 2.623 4.0 1.4332 2454.5 2192.2 250.132996811 2516.20028504 3030247.8023 0.000717023952669 2172.76025677 1.41617606875 
4.4 18.519 3400000.0 2441.3 3.4727 -5618.0 -35069.0 0.0 20.732 2.4249 1.1982 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2441.3 3400000.0 0.0 0.0 0.0 
4.4 18.519 1917100.0 2218.7 2.1546 -6153.1 -32918.0 0.0 20.732 2.3799 1.2027 1.7688 0.99999 1.0 0.67544 1897.9 1033.2 193.210183988 2443.56074772 3399381.41292 0.0013562255959 4610.32808244 3.02277140868 
4.4 18.519 142830.0 1398.6 0.25465 -8012.0 -24884.0 0.0 20.732 2.1268 1.2324 23.325 2.623 4.0 1.4332 2454.5 2192.2 250.159840242 2516.74012633 3219835.54234 0.000674804730923 2172.76025677 1.41602417557 
4.4 18.519 3600000.0 2441.7 3.6765 -5618.0 -35017.0 0.0 20.733 2.4249 1.1981 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2441.7 3600000.0 0.0 0.0 0.0 
4.4 18.519 2029900.0 2219.0 2.2811 -6153.1 -32871.0 0.0 20.733 2.38 1.2026 1.7689 0.99999 1.0 0.67548 1898.0 1033.2 193.217849675 2443.78020433 3599273.30871 0.00128082939987 4610.05507195 3.02243932981 
4.4 18.519 151240.0 1398.9 0.2696 -8012.2 -24855.0 0.0 20.733 2.1269 1.2324 23.326 2.6231 4.0 1.4332 2454.5 2192.2 250.184607772 2517.36524413 3410035.81045 0.000637166404561 2172.76025677 1.41588249554 
4.4 18.519 3800000.0 2442.0 3.8804 -5618.0 -34968.0 0.0 20.734 2.425 1.1981 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2442.0 3800000.0 0.0 0.0 0.0 
4.4 18.519 2142700.0 2219.3 2.4076 -6153.2 -32826.0 0.0 20.734 2.38 1.2026 1.7689 0.99999 1.0 0.67552 1898.0 1033.3 193.226252867 2444.11059372 3799282.19054 0.00121332974562 4609.78209379 3.02212896153 
4.4 18.519 159650.0 1399.1 0.28454 -8012.5 -24828.0 0.0 20.734 2.127 1.2323 23.326 2.6231 4.0 1.4332 2454.6 2192.3 250.183538091 2517.2438144 3599924.08528 0.000603557243236 2172.76025677 1.41590978092 
4.4 18.519 4000000.0 2442.3 4.0843 -5618.0 -34921.0 0.0 20.734 2.425 1.1981 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2442.3 4000000.0 0.0 0.0 0.0 
4.4 18.519 2255500.0 2219.6 2.5341 -6153.2 -32784.0 0.0 20.734 2.3801 1.2026 1.769 0.99999 1.0 0.67556 1898.1 1033.4 193.239314446 2444.44098311 3999291.07236 0.00115258156122 4609.50914797 3.02174579135 
4.4 18.519 168050.0 1399.3 0.29949 -8012.7 -24802.0 0.0 20.734 2.127 1.2323 23.327 2.6232 4.0 1.4332 2454.6 2192.3 250.205390777 2517.68891941 3790015.29462 0.000573285353189 2172.76025677 1.41578461526 
4.4 18.519 4200000.0 2442.6 4.2881 -5618.0 -34876.0 0.0 20.735 2.4251 1.1981 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2442.6 4200000.0 0.0 0.0 0.0 
4.4 18.519 2368300.0 2219.8 2.6606 -6153.3 -32744.0 0.0 20.735 2.3801 1.2026 1.769 0.99999 1.0 0.67559 1898.1 1033.4 193.243362166 2444.66124271 4199299.95419 0.00109763639418 4609.30445981 3.02154834681 
4.4 18.519 176460.0 1399.5 0.31444 -8012.9 -24777.0 0.0 20.735 2.1271 1.2323 23.328 2.6232 4.0 1.4332 2454.6 2192.3 250.217244958 2518.04876918 3979685.20612 0.000545962844857 2172.76025677 1.41571758681 
