# of p t rho h g m mw cp gam pip mach aeat cf ivac isp t0 at p0at m_dot 
9.0 1.2792 1468.5 0.24025 -8326.3 -25025.0 0.0 22.932 2.0691 1.2125 30.327 2.7361 5.0 1.4862 2494.9 2245.8 2636.56449135 58.085865149 2095.27654421 1.39503128174 
9.0 42.0 2574.3 4.5004 -5852.6 -35080.0 0.0 22.935 2.3683 1.1807 1.0 0.0 0.0 0.0 0.0 0.0 2574.3 0.0 0.0 0.0 
9.0 23.832 2358.7 2.7871 -6359.0 -33139.0 0.0 22.935 2.3282 1.1844 1.7457 0.99998 1.0 0.66264 1867.1 1001.4 2576.1634412 111.911646653 4699.38428106 3.13894928003 
9.0 1.3433 1469.5 0.25216 -8327.3 -25011.0 0.0 22.935 2.0695 1.2124 30.335 2.7365 5.0 1.4862 2495.0 2245.9 2638.15147652 55.2673478067 2095.27654421 1.39466162096 
9.0 44.0 2575.5 4.7131 -5852.6 -35050.0 0.0 22.938 2.3685 1.1807 1.0 0.0 0.0 0.0 0.0 0.0 2575.5 0.0 0.0 0.0 
9.0 24.968 2359.8 2.9188 -6359.2 -33112.0 0.0 22.938 2.3284 1.1844 1.7459 0.99998 1.0 0.66274 1867.3 1001.6 2577.36485714 106.803746033 4698.67519691 3.13794928501 
9.0 1.4075 1470.4 0.26407 -8328.2 -24998.0 0.0 22.938 2.0699 1.2123 30.343 2.7368 5.0 1.4862 2495.2 2246.1 2639.472958 52.7115909303 2095.27654421 1.39436241816 
10.0 30.0 2465.9 3.3505 -5922.8 -33973.0 0.0 22.898 2.3414 1.1835 1.0 0.0 0.0 0.0 0.0 0.0 2465.9 0.0 0.0 0.0 
10.0 17.004 2256.3 2.0755 -6409.3 -32075.0 0.0 22.898 2.2991 1.1876 1.7507 1.0 1.0 0.66535 1826.0 982.53 2467.94094 156.034713494 4680.24348087 3.19449904285 
10.0 0.95067 1392.1 0.18808 -8292.7 -24128.0 0.0 22.898 2.0303 1.2178 30.855 2.7508 5.0 1.4858 2433.5 2194.2 2539.23979128 76.5235779391 2095.84062458 1.42306419614 
10.0 32.0 2467.1 3.5726 -5922.8 -33929.0 0.0 22.901 2.3417 1.1835 1.0 0.0 0.0 0.0 0.0 0.0 2467.1 0.0 0.0 0.0 
10.0 18.138 2257.4 2.2131 -6409.4 -32035.0 0.0 22.901 2.2993 1.1875 1.7509 1.0 1.0 0.66546 1826.3 982.78 2469.03125 146.260202418 4679.46984041 3.19337800575 
10.0 1.0142 1393.0 0.20053 -8293.6 -24107.0 0.0 22.901 2.0307 1.2177 30.863 2.7512 5.0 1.4858 2433.6 2194.3 2540.6880916 71.6697294042 2095.84062458 1.42270990099 
10.0 34.0 2468.2 3.7945 -5922.8 -33887.0 0.0 22.903 2.3419 1.1834 1.0 0.0 0.0 0.0 0.0 0.0 2468.2 0.0 0.0 0.0 
10.0 19.272 2258.5 2.3506 -6409.6 -31998.0 0.0 22.903 2.2996 1.1875 1.7511 1.0 1.0 0.66557 1826.5 983.01 2470.234375 137.631232206 4678.69645567 3.19221198104 
10.0 1.0777 1393.9 0.21298 -8294.5 -24087.0 0.0 22.903 2.0311 1.2176 30.871 2.7514 5.0 1.4858 2433.7 2194.5 2541.96897091 67.4148016124 2095.84062458 1.42237169626 
10.0 36.0 2469.3 4.0164 -5922.8 -33848.0 0.0 22.906 2.3421 1.1834 1.0 0.0 0.0 0.0 0.0 0.0 2469.3 0.0 0.0 0.0 
10.0 20.406 2259.5 2.488 -6409.8 -31963.0 0.0 22.906 2.2998 1.1874 1.7513 1.0 1.0 0.66567 1826.6 983.21 2471.21515 129.967778219 4677.99360043 3.19121117914 
10.0 1.1413 1394.7 0.22543 -8295.4 -24068.0 0.0 22.906 2.0314 1.2176 30.877 2.7517 5.0 1.4858 2433.8 2194.6 2543.67839895 63.622976002 2095.84062458 1.42198679964 
10.0 38.0 2470.3 4.2383 -5922.8 -33810.0 0.0 22.908 2.3423 1.1834 1.0 0.0 0.0 0.0 0.0 0.0 2470.3 0.0 0.0 0.0 
10.0 21.54 2260.5 2.6254 -6409.9 -31929.0 0.0 22.908 2.3 1.1874 1.7514 1.0 1.0 0.66576 1826.8 983.41 2472.30885 123.108818859 4677.36121125 3.19021319728 
10.0 1.2048 1395.4 0.23788 -8296.1 -24050.0 0.0 22.908 2.0317 1.2175 30.884 2.752 5.0 1.4858 2433.9 2194.7 2544.67733862 60.2299806175 2095.84062458 1.42172792425 
10.0 40.0 2471.2 4.4601 -5922.8 -33775.0 0.0 22.91 2.3425 1.1833 1.0 0.0 0.0 0.0 0.0 0.0 2471.2 0.0 0.0 0.0 
10.0 22.674 2261.3 2.7628 -6410.0 -31897.0 0.0 22.91 2.3002 1.1873 1.7516 1.0 1.0 0.66584 1827.0 983.59 2473.070745 116.941746947 4676.79923105 3.18938095562 
10.0 1.2684 1396.1 0.25032 -8296.9 -24032.0 0.0 22.91 2.032 1.2174 30.89 2.7522 5.0 1.4858 2434.0 2194.9 2545.59226232 57.1827522974 2095.84062458 1.42149265305 
10.0 42.0 2472.0 4.6819 -5922.8 -33741.0 0.0 22.912 2.3427 1.1833 1.0 0.0 0.0 0.0 0.0 0.0 2472.0 0.0 0.0 0.0 
10.0 23.808 2262.2 2.9002 -6410.1 -31866.0 0.0 22.912 2.3004 1.1873 1.7517 0.99998 1.0 0.66591 1827.1 983.75 2474.04655588 111.362399547 4676.30760914 3.18855588638 
10.0 1.3319 1396.8 0.26277 -8297.5 -24016.0 0.0 22.912 2.0323 1.2174 30.895 2.7524 5.0 1.4858 2434.0 2195.0 2547.03576907 54.4364832082 2095.84062458 1.42115181556 
10.0 44.0 2472.8 4.9036 -5922.8 -33708.0 0.0 22.914 2.3428 1.1833 1.0 0.0 0.0 0.0 0.0 0.0 2472.8 0.0 0.0 0.0 
10.0 24.942 2262.9 3.0375 -6410.3 -31837.0 0.0 22.914 2.3006 1.1873 1.7518 0.99998 1.0 0.66599 1827.2 983.91 2474.81210826 106.286485736 4675.74588207 3.18781884599 
10.0 1.3955 1397.4 0.2752 -8298.2 -24000.0 0.0 22.914 2.0326 1.2173 30.9 2.7526 5.0 1.4858 2434.1 2195.1 2547.76770412 51.9308416046 2095.84062458 1.42096788745 
20.0 30.0 1853.8 4.3946 -6257.0 -26219.0 0.0 22.579 2.1578 1.2058 1.0 0.0 0.0 0.0 0.0 0.0 1853.8 0.0 0.0 0.0 
20.0 16.858 1678.0 2.7283 -6631.6 -24701.0 0.0 22.579 2.1021 1.2124 1.7779 0.99998 1.0 0.68029 1580.6 865.22 1856.19647193 152.623427024 4577.45961281 3.60406729914 
20.0 0.8851 960.36 0.25028 -8037.4 -18379.0 0.0 22.579 1.7948 1.2581 33.838 2.8269 5.0 1.4852 2076.8 1888.9 1950.76531769 74.8724155997 2096.68731484 1.63171392212 
20.0 32.0 1853.9 4.6874 -6257.0 -26176.0 0.0 22.579 2.1579 1.2058 1.0 0.0 0.0 0.0 0.0 0.0 1853.9 0.0 0.0 0.0 
20.0 17.982 1678.1 2.91 -6631.6 -24662.0 0.0 22.579 2.1021 1.2124 1.7779 0.99998 1.0 0.6803 1580.6 865.24 1856.3070915 143.08129865 4577.39232691 3.60390693615 
20.0 0.94411 960.42 0.26695 -8037.5 -18357.0 0.0 22.579 1.7948 1.2581 33.838 2.827 5.0 1.4852 2076.8 1888.9 1950.9572705 70.1803530364 2096.68731484 1.63163364877 
20.0 34.0 1854.0 4.9802 -6257.0 -26135.0 0.0 22.579 2.1579 1.2058 1.0 0.0 0.0 0.0 0.0 0.0 1854.0 0.0 0.0 0.0 
20.0 19.106 1678.1 3.0918 -6631.6 -24625.0 0.0 22.579 2.1021 1.2124 1.778 0.99998 1.0 0.68031 1580.6 865.26 1856.3070915 134.661891185 4577.325043 3.60385396167 
20.0 1.0031 960.46 0.28363 -8037.5 -18336.0 0.0 22.579 1.7948 1.2581 33.839 2.827 5.0 1.4852 2076.8 1888.9 1951.03852483 66.0532081599 2096.68731484 1.63159967233 
20.0 36.0 1854.0 5.2731 -6257.0 -26097.0 0.0 22.579 2.1579 1.2058 1.0 0.0 0.0 0.0 0.0 0.0 1854.0 0.0 0.0 0.0 
20.0 20.23 1678.2 3.2736 -6631.6 -24590.0 0.0 22.579 2.1022 1.2124 1.778 0.99998 1.0 0.68032 1580.6 865.27 1856.41771108 127.178065978 4577.25776105 3.60369361612 
20.0 1.0622 960.5 0.3003 -8037.6 -18316.0 0.0 22.579 1.7948 1.2581 33.839 2.827 5.0 1.4852 2076.8 1888.9 1951.11977917 62.3780579036 2096.68731484 1.63156569801 
20.0 38.0 1854.1 5.5659 -6257.0 -26061.0 0.0 22.579 2.1579 1.2058 1.0 0.0 0.0 0.0 0.0 0.0 1854.1 0.0 0.0 0.0 
20.0 21.354 1678.3 3.4554 -6631.6 -24557.0 0.0 22.579 2.1022 1.2124 1.778 0.99998 1.0 0.68033 1580.6 865.29 1856.52833065 120.48208568 4577.19048109 3.60353328489 
20.0 1.1212 960.54 0.31698 -8037.6 -18297.0 0.0 22.579 1.7948 1.2581 33.839 2.827 5.0 1.4852 2076.8 1888.9 1951.20103351 59.095587857 2096.68731484 1.63153172581 
20.0 40.0 1854.1 5.8587 -6257.0 -26026.0 0.0 22.579 2.1579 1.2058 1.0 0.0 0.0 0.0 0.0 0.0 1854.1 0.0 0.0 0.0 
20.0 22.478 1678.3 3.6372 -6631.6 -24526.0 0.0 22.579 2.1022 1.2124 1.778 0.99998 1.0 0.68034 1580.6 865.3 1856.52833065 114.45576304 4577.1232031 3.60348031823 
20.0 1.1802 960.58 0.33365 -8037.7 -18280.0 0.0 22.579 1.7949 1.2581 33.839 2.827 5.0 1.4852 2076.8 1888.9 1951.28228785 56.1413091893 2096.68731484 1.63149775574 
20.0 42.0 1854.2 6.1515 -6257.0 -25993.0 0.0 22.58 2.1579 1.2057 1.0 0.0 0.0 0.0 0.0 0.0 1854.2 0.0 0.0 0.0 
20.0 23.602 1678.3 3.8189 -6631.6 -24496.0 0.0 22.58 2.1022 1.2124 1.778 0.99998 1.0 0.68035 1580.6 865.31 1856.52833065 109.00342457 4577.0559271 3.60350714824 
20.0 1.2392 960.62 0.35033 -8037.7 -18263.0 0.0 22.58 1.7949 1.2581 33.84 2.827 5.0 1.4852 2076.9 1888.9 1951.36354218 53.4683449848 2096.68731484 1.63149991529 
20.0 44.0 1854.2 6.4442 -6257.0 -25962.0 0.0 22.58 2.158 1.2057 1.0 0.0 0.0 0.0 0.0 0.0 1854.2 0.0 0.0 0.0 
20.0 24.726 1678.4 4.0007 -6631.7 -24468.0 0.0 22.58 2.1022 1.2124 1.778 0.99998 1.0 0.68036 1580.6 865.32 1856.63895023 104.046793372 4576.98865307 3.60334683404 
20.0 1.2982 960.65 0.367 -8037.8 -18247.0 0.0 22.58 1.7949 1.2581 33.84 2.827 5.0 1.4852 2076.9 1888.9 1951.42448294 51.0383400903 2096.68731484 1.63147444015 
30.0 30.0 1596.6 5.0682 -6375.6 -23105.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.6 0.0 0.0 0.0 
30.0 16.771 1435.8 3.1506 -6702.3 -21747.0 0.0 22.427 2.0003 1.2275 1.7884 0.99998 1.0 0.68591 1467.1 808.26 1599.11571718 151.374972031 4539.9542214 3.85521591704 
30.0 0.84988 787.28 0.29119 -7905.4 -16155.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.15572331 75.0437248445 2097.25215517 1.75903279147 
30.0 32.0 1596.7 5.4061 -6375.6 -23067.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.7 0.0 0.0 0.0 
30.0 17.889 1435.8 3.3606 -6702.3 -21712.0 0.0 22.427 2.0003 1.2275 1.7884 0.99998 1.0 0.68591 1467.2 808.26 1599.11571718 141.914565148 4539.9542214 3.85521591704 
30.0 0.90654 787.29 0.3106 -7905.5 -16136.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.1771662 70.3533885662 2097.25215517 1.75902161999 
30.0 34.0 1596.7 5.7439 -6375.6 -23031.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.7 0.0 0.0 0.0 
30.0 19.007 1435.8 3.5707 -6702.3 -21680.0 0.0 22.427 2.0003 1.2275 1.7884 0.99998 1.0 0.68591 1467.2 808.27 1599.11571718 133.567088754 4539.9542214 3.85521591704 
30.0 0.9632 787.29 0.33001 -7905.5 -16118.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.1771662 66.2148680137 2097.25215517 1.75902161999 
30.0 36.0 1596.7 6.0817 -6375.6 -22998.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.7 0.0 0.0 0.0 
30.0 20.125 1435.8 3.7807 -6702.3 -21650.0 0.0 22.427 2.0003 1.2275 1.7884 0.99998 1.0 0.68592 1467.2 808.27 1599.11571718 126.145224556 4539.88803359 3.85515971201 
30.0 1.0199 787.3 0.34942 -7905.5 -16102.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.19860909 62.5337394556 2097.25215517 1.75901044873 
30.0 38.0 1596.7 6.4196 -6375.6 -22966.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.7 0.0 0.0 0.0 
30.0 21.243 1435.8 3.9907 -6702.3 -21621.0 0.0 22.427 2.0003 1.2275 1.7884 0.99998 1.0 0.68592 1467.2 808.27 1599.11571718 119.506314748 4539.88803359 3.85515971201 
30.0 1.0765 787.31 0.36883 -7905.5 -16086.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.22005197 59.245853108 2097.25215517 1.75899927768 
30.0 40.0 1596.7 6.7574 -6375.6 -22936.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.7 0.0 0.0 0.0 
30.0 22.361 1435.8 4.2007 -6702.3 -21594.0 0.0 22.427 2.0003 1.2275 1.7884 0.99998 1.0 0.68592 1467.2 808.27 1599.11571718 113.531266231 4539.88803359 3.85515971201 
30.0 1.1332 787.32 0.38824 -7905.5 -16071.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.24149486 56.2814691765 2097.25215517 1.75898810684 
30.0 42.0 1596.7 7.0952 -6375.6 -22907.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.7 0.0 0.0 0.0 
30.0 23.479 1435.9 4.4107 -6702.3 -21568.0 0.0 22.427 2.0003 1.2275 1.7884 0.99998 1.0 0.68592 1467.2 808.28 1599.22709172 108.125245717 4539.88803359 3.85502546774 
30.0 1.1898 787.32 0.40764 -7905.5 -16057.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.24149486 53.6041022616 2097.25215517 1.75898810684 
30.0 44.0 1596.7 7.4331 -6375.6 -22879.0 0.0 22.427 2.0607 1.2194 1.0 0.0 0.0 0.0 0.0 0.0 1596.7 0.0 0.0 0.0 
30.0 24.597 1435.9 4.6207 -6702.3 -21544.0 0.0 22.427 2.0003 1.2275 1.7885 0.99998 1.0 0.68593 1467.2 808.28 1599.22709172 103.209156951 4539.82184771 3.8549692663 
30.0 1.2465 787.33 0.42705 -7905.5 -16043.0 0.0 22.427 1.6974 1.2794 35.287 2.862 5.0 1.4848 1916.6 1749.7 1688.26293775 51.1657929168 2097.25215517 1.75897693621 
40.0 30.0 1457.7 5.5316 -6436.4 -21460.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.7 0.0 0.0 0.0 
40.0 16.715 1305.4 3.4417 -6736.8 -20190.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.6892 1401.8 775.13 1460.21424724 150.659302861 4518.28206616 4.01935273668 
40.0 0.8293 697.43 0.31961 -7829.8 -15017.0 0.0 22.348 1.6473 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.13100433 75.1169531739 2097.67598518 1.84317962226 
40.0 32.0 1457.7 5.9004 -6436.4 -21425.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.7 0.0 0.0 0.0 
40.0 17.829 1305.4 3.6711 -6736.8 -20158.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.6892 1401.8 775.13 1460.21424724 141.245737132 4518.28206616 4.01935273668 
40.0 0.88458 697.43 0.34092 -7829.8 -15001.0 0.0 22.348 1.6473 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.13100433 70.4226743393 2097.67598518 1.84317962226 
40.0 34.0 1457.7 6.2691 -6436.4 -21392.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.7 0.0 0.0 0.0 
40.0 18.943 1305.4 3.9006 -6736.8 -20129.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.6892 1401.8 775.13 1460.21424724 132.939357405 4518.28206616 4.01935273668 
40.0 0.93987 697.43 0.36222 -7829.8 -14985.0 0.0 22.348 1.6473 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.13100433 66.279899632 2097.67598518 1.84317962226 
40.0 36.0 1457.7 6.6379 -6436.4 -21361.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.7 0.0 0.0 0.0 
40.0 20.058 1305.4 4.13 -6736.8 -20101.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.6892 1401.8 775.13 1460.21424724 125.549419051 4518.28206616 4.01935273668 
40.0 0.99516 697.43 0.38353 -7829.8 -14970.0 0.0 22.348 1.6473 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.13100433 62.5974609782 2097.67598518 1.84317962226 
40.0 38.0 1457.7 7.0066 -6436.4 -21331.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.7 0.0 0.0 0.0 
40.0 21.172 1305.4 4.3594 -6736.8 -20075.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.6892 1401.8 775.13 1460.21424724 118.943427514 4518.28206616 4.01935273668 
40.0 1.0504 697.44 0.40483 -7829.8 -14956.0 0.0 22.348 1.6473 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.15313029 59.3054924477 2097.67598518 1.84316640831 
40.0 40.0 1457.7 7.3754 -6436.4 -21304.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.7 0.0 0.0 0.0 
40.0 22.286 1305.4 4.5889 -6736.8 -20050.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.68921 1401.8 775.13 1460.21424724 112.996217752 4518.21650876 4.01929441842 
40.0 1.1057 697.44 0.42614 -7829.8 -14943.0 0.0 22.348 1.6474 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.15313029 56.3394132831 2097.67598518 1.84316640831 
40.0 42.0 1457.8 7.7442 -6436.4 -21277.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.8 0.0 0.0 0.0 
40.0 23.401 1305.4 4.8183 -6736.8 -20027.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.68921 1401.8 775.13 1460.21424724 107.61222635 4518.21650876 4.01929441842 
40.0 1.161 697.44 0.44745 -7829.8 -14930.0 0.0 22.348 1.6474 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.15313029 53.6558908416 2097.67598518 1.84316640831 
40.0 44.0 1457.8 8.1129 -6436.4 -21252.0 0.0 22.348 2.0024 1.2282 1.0 0.0 0.0 0.0 0.0 0.0 1457.8 0.0 0.0 0.0 
40.0 24.515 1305.4 5.0477 -6736.8 -20004.0 0.0 22.348 1.9402 1.2372 1.7947 0.99998 1.0 0.68921 1401.8 775.13 1460.21424724 102.722158222 4518.21650876 4.01929441842 
40.0 1.2163 697.44 0.46875 -7829.9 -14918.0 0.0 22.348 1.6474 1.2917 36.171 2.8834 5.0 1.4845 1825.1 1669.6 1543.15313029 51.2163851575 2097.67598518 1.84316640831 
50.0 30.0 1370.8 5.8699 -6473.3 -20443.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 16.676 1223.9 3.6543 -6757.1 -19230.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 150.174739771 4503.70970308 4.13498005169 
50.0 0.81596 642.76 0.34048 -7781.1 -14332.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.34828554 75.1199070496 2097.9586337 1.90286544395 
50.0 32.0 1370.8 6.2612 -6473.3 -20410.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 17.788 1223.9 3.8979 -6757.1 -19201.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 140.786707917 4503.70970308 4.13498005169 
50.0 0.87036 642.76 0.36318 -7781.1 -14316.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.34828554 70.4246970864 2097.9586337 1.90286544395 
50.0 34.0 1370.8 6.6525 -6473.3 -20379.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 18.899 1223.9 4.1416 -6757.1 -19173.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 132.510395281 4503.70970308 4.13498005169 
50.0 0.92476 642.76 0.38588 -7781.1 -14302.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.34828554 66.2818886588 2097.9586337 1.90286544395 
50.0 36.0 1370.8 7.0439 -6473.3 -20350.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 20.011 1223.9 4.3852 -6757.1 -19147.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 125.146867244 4503.70970308 4.13498005169 
50.0 0.97916 642.76 0.40858 -7781.1 -14288.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.34828554 62.5994110831 2097.9586337 1.90286544395 
50.0 38.0 1370.8 7.4352 -6473.3 -20322.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 21.123 1223.9 4.6288 -6757.1 -19123.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 118.558630896 4503.70970308 4.13498005169 
50.0 1.0336 642.77 0.43127 -7781.1 -14275.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.37086548 59.3022826588 2097.9586337 1.90285064182 
50.0 40.0 1370.8 7.8265 -6473.3 -20296.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 22.234 1223.9 4.8724 -6757.1 -19099.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 112.63443197 4503.70970308 4.13498005169 
50.0 1.088 642.77 0.45397 -7781.1 -14263.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.37086548 56.3371685259 2097.9586337 1.90285064182 
50.0 42.0 1370.8 8.2178 -6473.3 -20271.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 23.346 1223.9 5.116 -6757.1 -19077.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 107.269509142 4503.70970308 4.13498005169 
50.0 1.1423 642.77 0.47667 -7781.1 -14251.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.37086548 53.659143269 2097.9586337 1.90285064182 
50.0 44.0 1370.8 8.6091 -6473.3 -20247.0 0.0 22.3 1.9638 1.2344 1.0 0.0 0.0 0.0 0.0 0.0 1370.8 0.0 0.0 0.0 
50.0 24.458 1223.9 5.3597 -6757.1 -19056.0 0.0 22.3 1.901 1.244 1.7989 1.0 1.0 0.69143 1359.2 753.43 1373.2158 102.392426217 4503.70970308 4.13498005169 
50.0 1.1967 642.77 0.49937 -7781.1 -14240.0 0.0 22.3 1.6172 1.2996 36.764 2.8979 5.0 1.4843 1765.6 1617.4 1451.37086548 51.2198874874 2097.9586337 1.90285064182 
60.0 30.0 1311.2 6.1279 -6498.1 -19753.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
60.0 16.648 1168.2 3.8166 -6770.5 -18580.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 149.833705498 4493.37681452 4.22097145679 
60.0 0.80666 606.08 0.35645 -7747.2 -13874.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 75.1077054117 2098.2413584 1.94748880653 
60.0 32.0 1311.2 6.5364 -6498.1 -19721.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
60.0 17.758 1168.2 4.0711 -6770.5 -18552.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 140.468044213 4493.37681452 4.22097145679 
60.0 0.86044 606.08 0.38022 -7747.2 -13860.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 70.4132555988 2098.2413584 1.94748880653 
60.0 34.0 1311.2 6.9449 -6498.1 -19692.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
60.0 18.868 1168.2 4.3255 -6770.5 -18526.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 132.204342227 4493.37681452 4.22097145679 
60.0 0.91422 606.08 0.40398 -7747.2 -13846.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 66.2711181635 2098.2413584 1.94748880653 
60.0 36.0 1311.2 7.3534 -6498.1 -19664.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
60.0 19.977 1168.2 4.58 -6770.5 -18501.0 0.0 22.268 1.8734 1.2489 1.802 1.0 1.0 0.69302 1329.1 738.08 1313.58249 124.865171404 4493.37681452 4.22097145679 
60.0 0.96799 606.08 0.42775 -7747.2 -13833.0 0.0 22.268 1.5971 1.3051 37.189 2.9083 5.0 1.4841 1723.8 1580.6 1388.10488228 62.5898838288 2098.2413584 1.94748880653 
60.0 38.0 1311.2 7.7619 -6498.1 -19637.0 0.0 22.268 1.9364 1.2389 1.0 0.0 0.0 0.0 0.0 0.0 1311.2 0.0 0.0 0.0 
