# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
1.0 50.0 2421000.0 1228.0 4.1017 -2504.8 -16855.0 17.299 15.354 2.3294 1.26 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.0 2421000.0 1235.68348669 0.0 0.0 0.0 
1.0 50.0 1334300.0 1084.1 2.5607 -2835.5 -15503.0 17.299 15.354 2.2644 1.2695 1.7379 1.0 1.0 0.65946 1485.2 793.13 152.118648424 1230.182475 2420276.38217 1233.49117651 0.00195103556957 4722.0453098 3.82819545021 
1.0 50.0 87428.0 583.95 0.3115 -3901.6 -10725.0 17.299 15.354 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.3 1718.8 162.038047761 1178.56296221 1588085.92292 1190.97338552 0.00137208808469 2178.9937723 1.82959065147 
1.0 50.0 2422000.0 1228.1 4.1034 -2504.8 -16855.0 17.299 15.355 2.3294 1.26 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.1 2422000.0 1235.69355905 0.0 0.0 0.0 
1.0 50.0 1334800.0 1084.1 2.5617 -2835.5 -15503.0 17.299 15.355 2.2644 1.2694 1.7379 1.0 1.0 0.65946 1485.2 793.14 152.114724227 1230.12827 2421102.19213 1233.4582574 0.0019503700939 4722.0453098 3.82829761889 
1.0 50.0 87465.0 583.97 0.31163 -3901.7 -10725.0 17.299 15.355 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.3 1718.8 162.048658166 1178.60332741 1588758.00943 1190.95499789 0.00137150765527 2178.9937723 1.82961889926 
1.0 50.0 2423000.0 1228.1 4.105 -2504.8 -16855.0 17.299 15.355 2.3294 1.26 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.1 2423000.0 1235.69355905 0.0 0.0 0.0 
1.0 50.0 1335400.0 1084.1 2.5628 -2835.5 -15504.0 17.299 15.355 2.2644 1.2694 1.7379 1.0 1.0 0.65946 1485.2 793.14 152.117089471 1230.12827 2422190.49099 1233.4582574 0.00194949378563 4722.0453098 3.82829761889 
1.0 50.0 87502.0 583.99 0.31175 -3901.7 -10726.0 17.299 15.355 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.3 1718.8 162.064534364 1178.64369262 1589430.09593 1190.97539183 0.00137092771672 2178.9937723 1.82958756936 
1.0 50.0 2424000.0 1228.1 4.1067 -2504.8 -16855.0 17.3 15.355 2.3295 1.26 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.1 2424000.0 1235.69355905 0.0 0.0 0.0 
1.0 50.0 1335900.0 1084.2 2.5638 -2835.5 -15504.0 17.3 15.355 2.2644 1.2694 1.7379 1.0 1.0 0.65946 1485.2 793.15 152.126074637 1230.24174 2423097.4067 1233.51514467 0.00194876413005 4722.0453098 3.8281210654 
1.0 50.0 87539.0 584.01 0.31187 -3901.7 -10726.0 17.3 15.355 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.4 1718.9 162.080399887 1178.68405782 1590102.18244 1190.99578542 0.00137034826841 2178.9937723 1.82955624108 
1.0 50.0 2425000.0 1228.2 4.1083 -2504.8 -16855.0 17.3 15.355 2.3295 1.26 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.2 2425000.0 1235.74386719 0.0 0.0 0.0 
1.0 50.0 1336500.0 1084.2 2.5648 -2835.5 -15504.0 17.3 15.355 2.2645 1.2694 1.7379 1.0 1.0 0.65946 1485.2 793.15 152.128436097 1230.24174 2424185.70556 1233.51514467 0.001947889264 4722.0453098 3.8281210654 
1.0 50.0 87576.0 584.04 0.312 -3901.7 -10726.0 17.3 15.355 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.4 1718.9 162.097642483 1178.74460562 1590774.26895 1191.02637514 0.00136976930972 2178.9937723 1.82950925167 
1.0 50.0 2426000.0 1228.2 4.1099 -2504.8 -16855.0 17.3 15.355 2.3295 1.2599 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.2 2426000.0 1235.77868051 0.0 0.0 0.0 
1.0 50.0 1337000.0 1084.2 2.5658 -2835.5 -15504.0 17.3 15.355 2.2645 1.2694 1.7379 1.0 1.0 0.65946 1485.2 793.16 152.130402362 1230.24174 2425092.62127 1233.51514467 0.00194716080878 4722.0453098 3.8281210654 
1.0 50.0 87613.0 584.06 0.31212 -3901.8 -10726.0 17.3 15.355 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.4 1718.9 162.113486787 1178.78497082 1591446.35546 1191.04676786 0.00136919084004 2178.9937723 1.8294779274 
1.0 50.0 2427000.0 1228.2 4.1116 -2504.8 -16855.0 17.3 15.356 2.3295 1.2599 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.2 2427000.0 1235.73844221 0.0 0.0 0.0 
1.0 50.0 1337600.0 1084.3 2.5669 -2835.5 -15504.0 17.3 15.356 2.2645 1.2694 1.7379 1.0 1.0 0.65946 1485.2 793.16 152.134821839 1230.35521 2426180.92013 1233.53186286 0.00194628738138 4722.0453098 3.82806918245 
1.0 50.0 87650.0 584.08 0.31224 -3901.8 -10726.0 17.3 15.356 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.4 1718.9 162.124041349 1178.82533602 1592118.44196 1191.02837778 0.00136861285874 2178.9937723 1.82950617547 
1.0 50.0 2428000.0 1228.2 4.1132 -2504.8 -16855.0 17.3 15.356 2.3295 1.2599 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1228.2 2428000.0 1235.73844221 0.0 0.0 0.0 
1.0 50.0 1338100.0 1084.3 2.5679 -2835.5 -15504.0 17.3 15.356 2.2645 1.2694 1.7379 1.0 1.0 0.65947 1485.2 793.17 152.136784898 1230.35521 2427087.83584 1233.53186286 0.00194553062169 4721.97370616 3.82801113479 
1.0 50.0 87687.0 584.1 0.31237 -3901.8 -10726.0 17.3 15.356 1.9845 1.3196 19.921 2.5243 4.0 1.4291 1960.4 1718.9 162.139863884 1178.86570122 1592790.52847 1191.04876913 0.0013680353652 2178.9937723 1.8294748534 
1.5 40.0 2421000.0 1298.8 3.6107 -3224.9 -19267.0 16.106 16.106 2.2343 1.3005 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1298.8 2421000.0 1226.98396736 0.0 0.0 0.0 
1.5 40.0 1315600.0 1125.9 2.2635 -3606.1 -17512.0 16.106 16.106 2.173 1.3116 1.7655 1.0 1.0 0.6755 1566.5 852.08 151.696921258 1301.31522 2419983.27275 1224.50588417 0.00190493819967 4609.91857883 3.76471737575 
1.5 40.0 80565.0 556.87 0.28025 -4779.1 -11657.0 16.106 16.106 1.9476 1.3607 20.419 2.555 4.0 1.4299 2050.8 1803.7 156.444994326 1212.48937216 1516795.2918 1166.88530681 0.00143577362174 2177.77466956 1.8663142443 
1.5 40.0 2422000.0 1298.8 3.6122 -3224.9 -19267.0 16.106 16.106 2.2344 1.3005 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1298.8 2422000.0 1226.98396736 0.0 0.0 0.0 
1.5 40.0 1316200.0 1125.9 2.2644 -3606.1 -17512.0 16.106 16.106 2.173 1.3116 1.7655 1.0 1.0 0.6755 1566.6 852.08 151.699304689 1301.31522 2421086.94405 1224.50588417 0.00190406981879 4609.91857883 3.76471737575 
1.5 40.0 80599.0 556.88 0.28036 -4779.1 -11657.0 16.106 16.106 1.9476 1.3607 20.419 2.555 4.0 1.4299 2050.9 1803.8 156.459812408 1212.51114546 1517435.40898 1166.89578394 0.0014351679529 2177.77466956 1.86629748734 
1.5 40.0 2423000.0 1298.9 3.6136 -3224.9 -19267.0 16.106 16.106 2.2344 1.3005 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1298.9 2423000.0 1227.03120174 0.0 0.0 0.0 
1.5 40.0 1316700.0 1125.9 2.2654 -3606.1 -17512.0 16.106 16.106 2.173 1.3116 1.7655 1.0 1.0 0.6755 1566.6 852.09 151.701289222 1301.31522 2422006.67013 1224.50588417 0.00190334677261 4609.91857883 3.76471737575 
1.5 40.0 80633.0 556.9 0.28047 -4779.1 -11657.0 16.106 16.106 1.9475 1.3607 20.419 2.555 4.0 1.4299 2050.9 1803.8 156.476024296 1212.55469204 1518075.52615 1166.91673792 0.00143456279483 2177.77466956 1.86626397479 
1.5 40.0 2424000.0 1298.9 3.6151 -3224.9 -19267.0 16.106 16.106 2.2344 1.3005 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1298.9 2424000.0 1227.03120174 0.0 0.0 0.0 
1.5 40.0 1317300.0 1126.0 2.2663 -3606.1 -17512.0 16.106 16.106 2.173 1.3116 1.7655 1.0 1.0 0.6755 1566.6 852.09 151.710405519 1301.4308 2423110.34143 1224.56026194 0.00190247984172 4609.91857883 3.76455019987 
1.5 40.0 80667.0 556.92 0.28058 -4779.1 -11657.0 16.106 16.106 1.9475 1.3607 20.419 2.555 4.0 1.4299 2050.9 1803.8 156.492225317 1212.59823863 1518715.64332 1166.93769153 0.0014339581469 2177.77466956 1.86623046404 
1.5 40.0 2425000.0 1298.9 3.6165 -3224.9 -19267.0 16.106 16.106 2.2344 1.3005 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1298.9 2425000.0 1227.03120174 0.0 0.0 0.0 
1.5 40.0 1317800.0 1126.0 2.2672 -3606.1 -17512.0 16.106 16.106 2.173 1.3116 1.7655 1.0 1.0 0.6755 1566.6 852.1 151.712386828 1301.4308 2424030.06752 1224.56026194 0.00190175800235 4609.91857883 3.76455019987 
1.5 40.0 80701.0 556.93 0.2807 -4779.1 -11657.0 16.106 16.106 1.9475 1.3607 20.419 2.555 4.0 1.4299 2050.9 1803.8 156.507010404 1212.62001192 1519355.76049 1166.94816819 0.00143335400845 2177.77466956 1.86621370934 
1.5 40.0 2426000.0 1298.9 3.618 -3224.9 -19267.0 16.106 16.106 2.2344 1.3004 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1298.9 2426000.0 1227.06442299 0.0 0.0 0.0 
1.5 40.0 1318400.0 1126.0 2.2681 -3606.1 -17512.0 16.106 16.106 2.173 1.3116 1.7655 1.0 1.0 0.6755 1566.6 852.1 151.714762415 1301.4308 2425133.73882 1224.56026194 0.00190089251782 4609.91857883 3.76455019987 
